,arsId,beginTm,busRouteAbrv,busRouteId,busRouteNm,direction,gpsX,gpsY,lastTm,posX,posY,routeType,sectSpd,section,seq,station,stationNm,stationNo,transYn,fullSectDist,trnstnid
0,21144,04:30,506,100100081,506,을지로입구역.광교,126.937243894,37.4710002992,22:31,194449.3303962329,441293.6796528194,3,0,0,1,120000043,신성초등학교,21144,N,0,101000141
1,21165,04:30,506,100100081,506,을지로입구역.광교,126.9329498365,37.4698733592,22:31,194069.43931817677,441168.87964293314,3,31,120600850,2,120000063,삼성동주민센터,21165,N,524,101000141
2,21166,04:31,506,100100081,506,을지로입구역.광교,126.9318366773,37.4678433767,22:34,193970.817771708,440943.67382978695,3,15,120600356,3,120000064,미림고개,21166,N,245,101000141
3,21167,04:32,506,100100081,506,을지로입구역.광교,126.931333,37.465575,22:35,193926.08297812202,440691.97409238294,3,35,120602616,4,120000065,미림여고.미림여자정보과학고,21167,N,262,101000141
4,21168,04:33,506,100100081,506,을지로입구역.광교,126.93169,37.462487,22:36,193957.41277928094,440349.2618568437,3,13,120600358,5,120000066,신우초등학교,21168,N,344,101000141
5,21169,04:34,506,100100081,506,을지로입구역.광교,126.929865,37.458825,22:37,193795.67377426042,439942.9920759634,3,51,120602618,6,120000067,삼성산성지,21169,N,467,101000141
6,21170,04:35,506,100100081,506,을지로입구역.광교,126.927725,37.459955,22:38,193606.45994046488,440068.5362596614,3,29,120600360,7,120000068,산장아파트,21170,N,327,101000141
7,21171,04:36,506,100100081,506,을지로입구역.광교,126.92536,37.461213,22:39,193397.3595647673,440208.30524777016,3,11,120602620,8,120000069,삼성산주공아파트,21171,N,254,101000141
8,21267,04:37,506,100100081,506,을지로입구역.광교,126.921921,37.461102,22:40,193093.13600968837,440196.2336769821,3,16,120602857,9,120000165,관악산휴먼시아아파트1단지입구,21267,N,360,101000141
9,21268,04:39,506,100100081,506,을지로입구역.광교,126.919167,37.461001,22:43,192849.5076634233,440185.23074050574,3,12,120602519,10,120000166,난향동주민센터,21268,N,314,101000141
10,21809,04:40,506,100100081,506,을지로입구역.광교,126.9193821951,37.464124871,22:44,192868.8405345665,440531.88440806465,3,32,120603098,11,120000444,난곡종점,21809,N,354,101000141
11,21211,04:43,506,100100081,506,을지로입구역.광교,126.9196773902,37.4652824875,22:46,192895.0619796461,440660.328043947,3,55,120602862,12,120000109,신림복지관앞,21211,N,141,101000141
12,21210,04:44,506,100100081,506,을지로입구역.광교,126.92054078,37.4666919669,22:47,192971.56510869323,440816.67961097416,3,25,120600838,13,120000108,난우중학교입구,21210,N,174,101000141
13,21209,04:45,506,100100081,506,을지로입구역.광교,126.9200167939,37.4703996697,22:47,192925.5661924008,441228.179668915,3,11,120600467,14,120000107,우림시장.난곡보건분소,21209,N,434,101000141
14,21208,04:46,506,100100081,506,을지로입구역.광교,126.9195218742,37.4722574159,22:49,192881.9672098829,441434.3796957731,3,29,120602852,15,120000106,남강중고등학교입구,21208,N,213,101000141
15,21207,04:48,506,100100081,506,을지로입구역.광교,126.9182055117,37.47385703,22:50,192765.69331799314,441611.996670878,3,41,120602854,16,120000105,세이브마트앞,21207,N,216,101000141
16,21206,04:49,506,100100081,506,을지로입구역.광교,126.9168479874,37.4753427552,22:51,192645.77275832105,441776.9797482998,3,15,120602856,17,120000104,신일교회앞,21206,N,231,101000141
17,21205,04:50,506,100100081,506,을지로입구역.광교,126.9156475816,37.477054907,22:52,192539.77525030388,441967.07977938047,3,12,120602030,18,120000103,난곡우체국사거리,21205,N,226,101000141
18,21204,04:51,506,100100081,506,을지로입구역.광교,126.914797,37.480922,22:53,192464.93714272714,442396.2973699635,3,21,120600840,19,120000102,신림청소년독서실.신림체육센터,21204,N,437,101000141
19,21115,04:53,506,100100081,506,을지로입구역.광교,126.9159413884,37.4819058692,22:55,192566.2404459455,442505.39113570563,3,42,120601914,20,120000016,난곡입구,21115,N,222,101000141
20,21361,04:53,506,100100081,506,을지로입구역.광교,126.918618871,37.4823672056,22:56,192803.06906737507,442556.37985375524,3,16,120602517,21,120000445,호림박물관,21361,N,245,101000141
21,21116,04:54,506,100100081,506,을지로입구역.광교,126.9208415344,37.4827354653,22:57,192999.6644456054,442597.0798511845,3,15,120602518,22,120000017,남서울중학교.성보중고등학교,21116,N,200,101000141
22,21117,04:54,506,100100081,506,을지로입구역.광교,126.9280626243,37.483817804,22:58,193638.34944081647,442716.6798567632,3,18,120603095,23,120000018,신림사거리.신림역,21117,N,652,101000141
23,21262,04:57,506,100100081,506,을지로입구역.광교,126.9331482652,37.4844524654,23:00,194088.13887974096,442786.77985573607,3,35,120602681,24,120000160,관악우체국.양지병원,21262,N,457,101000141
24,21118,04:58,506,100100081,506,을지로입구역.광교,126.936125,37.484533,23:01,194351.38485365157,442795.5344239804,3,48,120601920,25,120000019,KT&G관악지점,21118,N,283,101000141
25,21119,04:59,506,100100081,506,을지로입구역.광교,126.9432468507,37.482008544,23:01,194981.01790050082,442514.97981657926,3,21,120900059,26,120000020,봉천역.관악초등학교,21119,N,676,101000141
26,21120,05:01,506,100100081,506,을지로입구역.광교,126.9484610699,37.4814828857,23:04,195442.10707160947,442456.37980378093,3,27,120601921,27,120000021,KT관악지점,21120,N,470,101000141
27,21131,05:02,506,100100081,506,을지로입구역.광교,126.9542258337,37.4828873794,23:06,195951.99509208187,442611.97981393524,3,22,120600520,28,120000032,봉천사거리.봉천중앙시장,21131,N,602,101000141
28,21132,05:04,506,100100081,506,을지로입구역.광교,126.9559128703,37.4849010896,23:09,196101.29158988316,442835.3798410995,3,23,120602570,29,120000033,봉원중학교.행운동우성아파트,21132,N,273,101000141
29,21133,05:05,506,100100081,506,을지로입구역.광교,126.9581660971,37.4877034434,23:10,196300.68690379075,443146.2798851072,3,37,120602575,30,120000034,관악푸르지오아파트,21133,N,382,101000141
30,20168,05:06,506,100100081,506,을지로입구역.광교,126.9565953054,37.4917326146,23:12,196161.9901623816,443593.4799428331,3,45,120602578,31,119000075,봉천고개.관악현대아파트,20168,N,498,101000141
31,20166,05:07,506,100100081,506,을지로입구역.광교,126.9537334982,37.4964614208,23:13,195909.1961021967,444118.3800153141,3,40,119601508,32,119000073,숭실대입구역,20166,N,606,101000141
32,20163,05:09,506,100100081,506,을지로입구역.광교,126.9517743709,37.4986899661,23:15,195736.10016847026,444365.78005731525,3,42,119605188,33,119000070,상도동중앙하이츠빌.상도전통시장,20163,N,305,101000141
33,20161,05:11,506,100100081,506,을지로입구역.광교,126.9495197061,37.5012490566,23:17,195536.90484884378,444649.8800925724,3,15,119602150,34,119000068,상도역,20161,N,346,101000141
34,20159,05:12,506,100100081,506,을지로입구역.광교,126.9495190801,37.5038586483,23:19,195537.0048430672,444939.4801346534,3,31,119605192,35,119000066,상도터널상도동,20159,N,420,101000141
35,20156,05:13,506,100100081,506,을지로입구역.광교,126.9543267583,37.5121264078,23:21,195962.49484668544,445856.7802517535,3,94,119605195,36,119000063,상도터널노량진동,20156,N,1030,101000141
36,03341,05:15,506,100100081,506,을지로입구역.광교,126.959037665,37.5173638437,23:23,196379.191099568,446437.8153110212,3,11,119605201,37,102000248,노들섬,03341,N,740,101000141
37,03001,05:17,506,100100081,506,을지로입구역.광교,126.9631917349,37.5240898013,23:25,196746.67642737247,447184.08042700216,3,49,102602931,38,102000001,한강대교북단.LG유플러스,03001,N,837,101000141
38,03003,05:19,506,100100081,506,을지로입구역.광교,126.966207,37.527293,23:27,197013.31040487625,447539.4574664966,3,36,102602232,39,102000003,신용산역,03003,N,445,101000141
39,03005,05:21,506,100100081,506,을지로입구역.광교,126.9702350163,37.5314970129,23:29,197369.4617993161,448005.88053145166,3,27,102602269,40,102000005,용산우체국,03005,N,595,101000141
40,03007,05:22,506,100100081,506,을지로입구역.광교,126.9740117531,37.5352698987,23:32,197703.35395241054,448424.4805846899,3,28,102602935,41,102000007,삼각지역,03007,N,539,101000141
41,03009,05:23,506,100100081,506,을지로입구역.광교,126.9725377982,37.543295633,23:33,197573.35700546548,449315.180701246,3,30,102602236,42,102000009,숙대입구역,03009,N,915,101000141
42,03011,05:26,506,100100081,506,을지로입구역.광교,126.9722373211,37.5509755993,23:35,197547.0576219871,450167.48081638385,3,29,102602941,43,102000011,갈월동,03011,N,862,101000141
43,02007,05:28,506,100100081,506,을지로입구역.광교,126.9729705525,37.555613815,23:38,197611.98951996095,450682.1933267554,3,56,101604440,44,101000007,서울역버스환승센터.강우규의거터,02007,N,521,101000141
44,02128,05:30,506,100100081,506,을지로입구역.광교,126.9765742145,37.5623584643,23:39,197930.5541205594,451430.6039080578,3,38,101604720,45,101000033,시청앞,02128,N,863,101000141
45,02137,05:36,506,100100081,506,을지로입구역.광교,126.9773647051,37.5683632936,23:44,198000.54697337412,452096.98107707966,3,48,101600133,46,101000039,서울신문사,02137,N,678,101000141
46,02246,05:37,506,100100081,506,을지로입구역.광교,126.9824738253,37.567557685,23:45,198451.83636724565,452007.48106555874,3,47,101600277,47,101000141,을지로입구역.광교,02246,Y,940,101000141
47,02141,05:41,506,100100081,506,신림2동차고지,126.9815478394,37.5628907847,23:49,198369.9382925068,451489.5809891457,3,73,101600336,48,101000042,해운센터.롯데영프라자,02141,N,534,101000141
